Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
Macrophage C1QB,Mac_SDC3,Myeloid,1313,0.185072353,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3645,0.086694102,Macrophage C1QB_high Liver
T Cell GZMK,TRM_HSPA1A,CD8,2908,0.047799175,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1136,0.096830986,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1113,0.0655885,Monocyte Liver
T Cell XCL1,TN/CM_GADD45B,CD8,1256,0.111464968,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4136,0.078820116,Monocyte Liver
T Cell GZMK,NA,NA,2328,0.056271478,T GD Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2229,0.066846119,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3217,0.043207958,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5099,0.043145715,Endothelial Cell SELE_high Liver
T Cell XCL1,TRM_TNF,CD4,1460,0.029452055,T Cell LTB_high Liver
Macrophage C1QB,NA,NA,2266,0.06972639,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1466,0.037517053,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2426,0.036685903,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4939,0.070459607,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3888,0.120113169,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4310,0.082598608,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2297,0.087070091,Macrophage C1QB_high Liver
T Cell GZMK,TRM_TYMS,CD8,2858,0.052484255,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5614,0.042572141,Macrophage LST1_high Liver
T Cell GZMK,TEFF_MT1E,CD8,2045,0.047432763,CD8 T Cell GZMK_high Liver
Fibroblast C7,NA,NA,4449,0.076196898,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1480,0.024324324,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1839,0.06742795,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2503,0.057131442,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5987,0.06965091,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1312,0.091463415,T GD Cell Liver
T Cell GZMK,TEM_GZMK,CD8,1332,0.063813814,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4748,0.052864364,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1652,0.060532688,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,Th1_NKG7,CD4,3755,0.041278296,CD8 T Cell GZMK_high Liver
T Cell IL7R,MAIT_SLC4A10,CD8,2438,0.064807219,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5219,0.057865491,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1619,0.090796788,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2091,0.06360593,T GD Cell Liver
T Cell IL7R,NA,NA,1445,0.02283737,Monocyte Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1150,0.133043478,Lymphatic Endothelial Cell Liver
T Cell GZMK,NA,NA,2663,0.037176117,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3360,0.060714286,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6573,0.060094325,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2153,0.058058523,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5479,0.055849608,Monocyte Liver
Smooth Muscle Cell,Smo_MYH11_high,FibSmo,3620,0.086187845,Smooth Muscle Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1348,0.064540059,Monocyte Liver
T Cell GZMK,Th1_NKG7,CD4,1909,0.089575694,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2192,0.063868613,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5881,0.056793062,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2384,0.065016779,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1447,0.07878369,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1214,0.061779242,CD8 T Cell GZMK_high Liver
