Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
T Cell GZMK,TEM_INFG,CD8,2369,0.048543689,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,1709,0.03978935,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1446,0.096127248,Macrophage C1QB_high Liver
Monocyte,Mac_SDC3,Myeloid,3542,0.075945793,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GZMK,CD8,1715,0.067055394,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1801,0.044975014,T GD Cell Liver
T Cell IL7R,TCM_STMN1,CD4,1955,0.046035806,T Cell LTB_high Liver
Monocyte,Mac_SDC3,Myeloid,7607,0.061259366,Macrophage LST1_high Liver
B Cell CD79A,Plasma_IGLC2,B_and_plasma,1060,0.067924528,B Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1674,0.136798088,Endothelial Cell SELE_high Liver
NK/T Cell GNLY,NA,NA,1704,0.062793427,NK/T Cell Liver
T Cell GZMK,NA,NA,1911,0.075353218,T GD Cell Liver
T Cell GZMK,NA,NA,2182,0.066911091,T GD Cell Liver
T Cell XCL1,TEM_INFG,CD8,1371,0.04595186,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1849,0.098972418,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4200,0.067142857,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,2589,0.042873696,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1702,0.043478261,CD8 T Cell TRBV4-2_high Liver
Smooth Muscle Cell,Smo_MYH11_high,FibSmo,2539,0.076014179,Smooth Muscle Cell Liver
T Cell IL7R,TRM_TNF,CD4,3071,0.052100293,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1973,0.089204257,Monocyte Liver
NK/T Cell GNLY,NA,NA,1736,0.069124424,NK/T Cell Liver
T Cell GZMK,NA,NA,5569,0.053151374,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6624,0.073218599,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,2649,0.057757644,NK/T Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3880,0.105154639,Macrophage LST1_high Liver
T Cell IL7R,TN_LINC00861,CD4,2094,0.039637058,T Cell LTB_high Liver
B Cell CD79A,Plasma_IGKV3-20,B_and_plasma,1180,0.072033898,B Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2426,0.086974444,Monocyte Liver
NK/T Cell GNLY,Th1_NKG7,CD4,2086,0.071907958,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,10671,0.056508294,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3186,0.101067169,Monocyte Liver
T Cell IL7R,MAIT_SLC4A10,CD8,1747,0.050944476,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1392,0.066810345,T GD Cell Liver
T Cell GZMK,NA,NA,1915,0.045953003,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1067,0.066541706,Macrophage C1QB_high Liver
T Cell XCL1,TRM_TNF,CD4,2488,0.023713826,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2512,0.080015924,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,10174,0.056320031,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4757,0.044986336,Monocyte Liver
T Cell GZMK,NA,NA,1671,0.058049072,T GD Cell Liver
T Cell GZMK,Th1_NKG7,CD4,1759,0.062535532,CD8 T Cell GZMK_high Liver
T Cell GZMK,TRM_TNF,CD4,1589,0.038388924,T Cell LTB_high Liver
T Cell IL7R,MAIT_SLC4A10,CD8,1550,0.056129032,T Cell LTB_high Liver
T Cell IL7R,TN/CM_LEF1,CD8,3345,0.047533632,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3289,0.113104287,Monocyte Liver
T Cell GZMK,TRM_TYMS,CD8,3609,0.053200333,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5387,0.057360312,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1569,0.104525175,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6112,0.046793194,Macrophage LST1_high Liver
T Cell GZMK,TRM_TYMS,CD8,6190,0.070113086,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5578,0.067228397,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1955,0.089002558,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6200,0.075,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,2628,0.029299848,T GD Cell Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,1503,0.052561544,B Cell Liver
Monocyte,Mac_SDC3,Myeloid,4237,0.081189521,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1198,0.060100167,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1823,0.071859572,T GD Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3874,0.0937016,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1103,0.049864007,Monocyte Liver
T Cell GZMK,NA,NA,1755,0.062108262,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,1857,0.045234249,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8076,0.055473006,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1813,0.036403751,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,2108,0.071157495,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2801,0.051767226,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4572,0.064085739,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2362,0.052921253,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2293,0.065852595,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6813,0.060032291,Macrophage C1QB_high Liver
T Cell GZMK,TRM_H2AFZ,CD8,1637,0.068417838,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1030,0.055339806,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5409,0.044185617,Macrophage C1QB_high Liver
Macrophage C1QB,NA,NA,1992,0.048694779,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1855,0.102425876,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1572,0.113867684,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3336,0.099220624,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,2526,0.054235946,T GD Cell Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1824,0.047149123,B Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,1954,0.076253838,Smooth Muscle Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4912,0.064739414,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4251,0.056692543,Monocyte Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,2072,0.020752896,B Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4196,0.04528122,Lymphatic Endothelial Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,4536,0.058641975,Endothelial Cell SELE_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2981,0.060382422,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,3126,0.059181062,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2470,0.078947368,Monocyte Liver
T Cell GZMK,MAIT_SLC4A10,CD8,3877,0.028888316,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1488,0.045698925,NK/T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6395,0.074589523,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1289,0.123351435,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2870,0.087108014,Monocyte Liver
T Cell IL7R,TN_LINC00861,CD4,2442,0.051187551,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1726,0.085747393,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,6216,0.075611326,Lymphatic Endothelial Cell Liver
T Cell IL7R,TN_LINC00861,CD4,1574,0.029224905,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4508,0.059006211,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,2603,0.066461775,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3484,0.091561424,Lymphatic Endothelial Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4199,0.049535604,Macrophage LST1_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2527,0.124258013,Hepatic Oval Cell Liver
T Cell GZMK,NA,NA,2391,0.033458804,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7002,0.05655527,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7899,0.042157235,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,2102,0.04376784,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4764,0.053106633,Monocyte Liver
NK/T Cell GNLY,NA,NA,1823,0.044980801,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5788,0.052695232,Macrophage C1QB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,1737,0.054691998,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1402,0.059201141,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2174,0.044618215,Monocyte Liver
NK/T Cell GNLY,Th1_NKG7,CD4,1376,0.048691859999999997,NK/T Cell Liver
T Cell IL7R,TRM_TNF,CD4,4669,0.049689441,T Cell LTB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,3655,0.06621067,T Cell LTB_high Liver
T Cell GZMK,NA,NA,3718,0.079881657,High Proliferation CD8 T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5873,0.016856802,Endothelial Cell SELE_high Liver
NK/T Cell GNLY,NA,NA,1611,0.04034761,NK/T Cell Liver
T Cell IL7R,TCM_KLF2,CD4,2078,0.03946102,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4314,0.069772833,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2449,0.05839118,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1871,0.04222341,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5555,0.038883888,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,5868,0.071745058,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2005,0.051371571,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4006,0.125062406,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2804,0.043865906,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3089,0.088378116,Macrophage C1QB_high Liver
T Cell IL7R,TRM_HSPA1A,CD8,1450,0.002068966,T Cell MT1E_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1284,0.077102804,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TRM_HSPA1A,CD8,2395,0.037160752,T Cell LTB_high Liver
T Cell XCL1,TRM_MT1E,CD4,2348,0.028960818,T Cell MT1E_high Liver
T Cell IL7R,TN_LINC00861,CD4,1500,0.027333333,T Cell LTB_high Liver
T Cell GZMK,NA,NA,2448,0.060866013,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6392,0.051470588,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3019,0.066247102,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1582,0.077117573,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1458,0.058984911,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,Th1_NKG7,CD4,1493,0.066979236,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4626,0.055555556,Lymphatic Endothelial Cell Liver
T Cell XCL1,TRM_HSPA1A,CD8,1084,0.042435424,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1244,0.055466238,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1731,0.040439053,NK/T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3921,0.020402958,Endothelial Cell SELE_high Liver
T Cell IL7R,TRM_TNF,CD4,4377,0.037240119,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6596,0.053972104,Macrophage C1QB_high Liver
T Cell XCL1,TEM_INFG,CD8,1060,0.147169811,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4937,0.051043144,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6383,0.18690271,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6992,0.078375286,Macrophage C1QB_high Liver
T Cell XCL1,TRM_PRR4,CD8,3173,0.049164828,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5353,0.052307118,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,5635,0.094409938,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5187,0.075573549,Macrophage C1QB_high Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,5034,0.054231228,Smooth Muscle Cell Liver
T Cell GZMK,TEM_INFG,CD8,2157,0.041724618,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TRM_HSPA1A,CD8,1727,0.052113492,T Cell MT1E_high Liver
T Cell XCL1,TRM_MT1E,CD4,1533,0.033920417,T Cell MT1E_high Liver
T Cell GZMK,TEM_INFG,CD8,2610,0.049425287,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,7167,0.05302079,Endothelial Cell SELE_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,7080,0.044491525,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2702,0.068097705,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1567,0.057434588,NK/T Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,3063,0.036565459,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5166,0.087882307,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,2517,0.05125149,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1217,0.081347576,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3004,0.090878828,Macrophage C1QB_high Liver
T Cell XCL1,TRM_TNF,CD4,1102,0.091651543,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5931,0.069296915,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2324,0.058950086,Monocyte Liver
NK/T Cell GNLY,NA,NA,2549,0.051392703,NK/T Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,3005,0.086855241,Hepatic Oval Cell Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1832,0.066593886,B Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1789,0.030743432,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2494,0.013231756,CD8 T Cell TRBV4-2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3403,0.09138995,Macrophage LST1_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1794,0.076365663,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1811,0.061292104,CD8 T Cell TRBV4-2_high Liver
Monocyte,Memory_B_LTB,B_and_plasma,2891,0.083016257,B Cell Liver
T Cell GZMK,NA,NA,1411,0.058114812,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1654,0.090689238,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1551,0.085106383,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,2078,0.042829644,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1500,0.08,NK/T Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,6245,0.09959968,Hepatic Oval Cell Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,2762,0.005792904,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TRM_TYMS,CD8,8499,0.042593246,High Proliferation CD8 T Cell Liver
T Cell XCL1,TRM_HSPA1A,CD8,1412,0.053824363,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1674,0.054360812,NK/T Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,3677,0.142507479,Hepatic Oval Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6088,0.098883049,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1834,0.064885496,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5658,0.051078119,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2015,0.09528536,Macrophage C1QB_high Liver
Monocyte,Mac_SDC3,Myeloid,2263,0.087494476,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1699,0.029429076,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2074,0.085824494,Macrophage LST1_high Liver
Epithelial Cell TFF3,BEC_CTSC,Endothelial_cell,1947,0,Lymphatic Endothelial Cell Liver
T Cell XCL1,TRM_MT1E,CD4,1431,0.045422781,T Cell MT1E_high Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,1814,0.058434399,Monocyte Liver
T Cell GZMK,TRM_GZMB,CD8,2413,0.046829673,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1551,0.103803997,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1743,0.036718302,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,NA,NA,3122,0.058616272,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2801,0.082470546,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,12582,0.082180893,Macrophage C1QB_high Liver
T Cell IL7R,TN_SELL,CD8,1707,0.03983597,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1327,0.147701583,Monocyte Liver
Macrophage C1QB,Intermediate_Mon_FN1,Myeloid,1252,0.093450479,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3191,0.057975556,Monocyte Liver
NK/T Cell GNLY,NA,NA,1584,0.044823232,NK/T Cell Liver
T Cell IL7R,TRM_TNF,CD4,1736,0.076612903,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3086,0.027543746,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8086,0.067029434,Macrophage C1QB_high Liver
T Cell IL7R,TRM_MT1E,CD4,3157,0.011403231,T Cell MT1E_high Liver
B Cell CD79A,Plasma_IGKV3-20,B_and_plasma,2045,0.065036675,B Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1474,0.148575305,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2003,0.049925112,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3904,0.104764344,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1358,0.058910162,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TEFF_MT1E,CD8,2029,0.041399704,T Cell MT1E_high Liver
T Cell GZMK,TEFF_GNLY,CD8,2492,0.04494382,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1986,0.072507553,NK/T Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,3189,0.099090624,Smooth Muscle Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6508,0.069452981,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1513,0.068076669,Macrophage C1QB_high Liver
Monocyte,Mac_SDC3,Myeloid,5096,0.081436421,Macrophage LST1_high Liver
T Cell XCL1,TEFF_MT1E,CD8,1747,0.072123641,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,8229,0.074249605,Monocyte Liver
NK/T Cell GNLY,NA,NA,1185,0.038818565,NK/T Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,3827,0.050169846,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1149,0.10791993,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2451,0.064055488,Macrophage LST1_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2041,0.044585987,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1585,0.082649842,Monocyte Liver
T Cell GZMK,TEFF_GNLY,CD8,2469,0.065613609,T GD Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3976,0.047535211,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2928,0.108606557,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2449,0.069824418,NK/T Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1569,0.062460166,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1361,0.027185893,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1689,0.078152753,Macrophage C1QB_high Liver
T Cell XCL1,TEM_GZMK,CD4,1859,0.033889188,T Cell LTB_high Liver
Plasma Cell JCHAIN,Plasma_IGKV3-20,B_and_plasma,10810,0.014431082,B Cell Liver
T Cell XCL1,TRM_MT1E,CD4,1712,0.010514019,T Cell MT1E_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2096,0.115458015,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1667,0.062387522,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1747,0.133943904,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4289,0.047563535,Lymphatic Endothelial Cell Liver
T Cell IL7R,TRM_TNF,CD4,1051,0.058991437,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2858,0.036738978,Monocyte Liver
T Cell GZMK,NA,NA,6817,0.038286636,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,2581,0.035257652,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,2320,0.020258621,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1334,0.064467766,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1812,0.084988962,Monocyte Liver
T Cell GZMK,TRM_RGS1,CD4,3666,0.027550464,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3011,0.111922949,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2319,0.055196205,NK/T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1597,0.102066374,Macrophage LST1_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2092,0.056883365,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1535,0.097068404,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2650,0.091320755,Lymphatic Endothelial Cell Liver
Monocyte,Mac_SDC3,Myeloid,4362,0.064190738,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,1951,0.059969247,T Cell LTB_high Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,2991,0.069541959,Endothelial Cell SLC9A3R2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3655,0.038850889,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,7379,0.058002439,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1883,0.060010621,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6390,0.025039124,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5298,0.052850132,Macrophage LST1_high Liver
T Cell IL7R,TN/CM_ITGB1,CD4,2358,0.03307888,T Cell LTB_high Liver
T Cell XCL1,TRM_TYMS,CD8,2659,0.042121098,High Proliferation CD8 T Cell Liver
T Cell XCL1,TEM_INFG,CD8,1767,0.023203169,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1130,0.090265487,Macrophage LST1_high Liver
T Cell IL7R,TRM_MT1E,CD4,2908,0.02957359,T Cell LTB_high Liver
T Cell IL7R,TN/CM_LEF1,CD8,2079,0.02982203,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1757,0.065452476,Monocyte Liver
T Cell GZMK,NA,NA,2255,0.032372506,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3656,0.083971554,Lymphatic Endothelial Cell Liver
Monocyte,Mac_SDC3,Myeloid,1051,0.174119886,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,10355,0.075808788,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,8091,0.049314053,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,2114,0.038315989,CD8 T Cell GZMK_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1518,0.203557312,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6546,0.062786434,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,2331,0.025311025,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1242,0.041867955,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,7025,0.072455516,Monocyte Liver
T Cell IL7R,TRM_MT1E,CD4,1497,0.002004008,T Cell MT1E_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1345,0.178438662,Monocyte Liver
T Cell GZMK,TEM_GIMAP4,CD8,1391,0.073328541,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_MT1E,CD8,1798,0.062847608,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,2147,0.067070331,CD8 T Cell GZMK_high Liver
B Cell CD79A,Memory_B_LTB,B_and_plasma,3298,0.070648878,B Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2457,0.142450142,Hepatic Oval Cell Liver
