SYMBOL,baseMean,log2FoldChange,pvalue,padj
MTFP1,45.04207812,2.448755399,6.38E-04,1.148717833
ZEB2.AS1,93.77482932,3.244488489,6.39E-04,1.148717833
COL9A2,37.88257215,-4.514778517,6.50E-04,1.148484961
PLA2G6,335.5605289,-2.20779575,6.46E-04,1.148484961
BAIAP3,113.4889081,-2.957551545,6.63E-04,1.143002377
PRKY,45.61114368,-3.704273107,6.78E-04,1.135996414
LMNB1,92.44172517,2.23047807,6.99E-04,1.131396237
NSMF,534.9291468,2.088065147,7.00E-04,1.131396237
NCKAP1,62.43369228,3.257037567,7.98E-04,1.080443296
HS6ST1,94.21946728,2.100984091,8.19E-04,1.077822399
ADRB2,196.4483207,2.426355003,8.17E-04,1.077822399
ZEB1,128.3186317,-2.914849945,8.75E-04,1.057526856
AHR,176.7258113,-3.616424228,9.11E-04,1.050826126
CA11,38.18844223,2.973827547,9.42E-04,1.039295813
GZMH,271.5894599,2.324637737,0.001031677,1.005023779
KLRC4,518.4058156,-2.777790631,0.001041345,1.00364546
FASLG,50.4765677,2.674115879,0.001148811,0.968911646
TCF7L2,260.9619677,4.878398881,0.001146591,0.968911646
PCSK5,44.61275037,3.398890968,0.001223251,0.946845996
SLC26A1,73.90901964,-3.743844047,0.001248438,0.943134161
BPGM,72.4533527,2.532868401,0.00134126,0.91453556
TBL1X,317.8661076,1.939928879,0.001409402,0.895545943
IMMP1L,58.60692202,3.793589931,0.001419297,0.895025094
CST7,892.9275498,2.035524601,0.001430009,0.89426271
CASK,143.8745994,-3.371886012,0.001455038,0.889216022
PVT1,43.59335831,-2.685119685,0.001633655,0.851164533
GGT7,47.45214191,3.368513982,0.001712585,0.834252424
NUAK1,53.43572145,3.5404943,0.001723694,0.834252424
NINL,61.728235,3.225275276,0.001726836,0.834252424
FCRL6,279.9812885,2.371600125,0.001746504,0.831700466
CCL4L2,71.38653811,4.047868957,0.001775604,0.829219138
S100A4,229.2194051,2.076706987,0.001810904,0.825314817
CD2,144.3483851,-2.240610869,0.001867605,0.81422901
RPS6KA2,45.94312403,-2.952629487,0.001980814,0.795509866
CXCR3,49.43485105,-3.500054098,0.002040925,0.787026913
PLEKHG2,253.7874339,2.748753299,0.002119343,0.777317374
GPR141,50.94210866,3.513640612,0.002223822,0.765044536
PHLDB2,144.5959437,2.164895042,0.002213978,0.765044536
COL13A1,56.04967835,3.342236624,0.002253873,0.761474324
KIR3DL2,129.8475717,2.812919384,0.002277184,0.759150286
C1QTNF6,60.66488299,-2.003774847,0.002347406,0.748788953
AUTS2,1122.80099,1.932568156,0.002440794,0.740922225
CLDND1,342.5747791,-2.056313115,0.002480446,0.736741875
KIR2DL3,87.12602568,3.773261193,0.002515451,0.732718853
B3GAT1,344.7969627,3.889244597,0.00260723,0.723286764
PRSS30P,49.40887571,2.988468913,0.002631578,0.722910292
TP53I11,52.99561618,-2.720955329,0.002663955,0.722910292
HVCN1,65.25606253,-2.996907979,0.002649273,0.722910292
RASSF2,103.6412305,-2.532110826,0.002650338,0.722910292
LMNA,239.6955266,-2.6552181,0.00267046,0.722910292
COL5A3,38.43218624,4.570126336,0.00275033,0.717972441
CTNNA1,113.1688842,2.654281114,0.00287912,0.705818456
NFIL3,227.7319314,2.579375495,0.002895102,0.70532334
KDSR,51.24038887,-2.636331524,0.002919102,0.703638532
SWINGN,59.25459079,2.586029488,0.003017805,0.696717008
STARD10,48.23742816,-3.324746773,0.003367539,0.658316677
PLOD1,147.1568947,2.356888281,0.003407465,0.65683221
MGAM,80.56983277,3.145339303,0.003505834,0.646278059
ENSG00000307917,160.0130992,-3.044150956,0.003563505,0.642212873
UPP1,166.7121483,1.917125562,0.003660227,0.635977084
ADGRB2,60.96843324,2.384219598,0.003822025,0.624698852
ITPRIP,1217.475804,1.804474232,0.003817203,0.624698852
VLDLR,47.29003745,3.740725348,0.003847171,0.623608837
