SYMBOL,baseMean,log2FoldChange,pvalue,padj
GSTM4,42.76101169,0.350886241,0.919201816,2.60577E-09
ENSG00000301565,42.7716115,-0.073028856,0.97114754,2.60577E-09
ZNF528,42.78260169,-0.020375035,0.994937249,2.60577E-09
APRG1,42.78551935,-0.064702696,0.992370657,2.60577E-09
ENSG00000260669,42.78600669,0.152256079,0.987776676,2.60577E-09
PHLDB3,42.78711884,0.728145114,0.70171038,2.60577E-09
VBP1,42.79273603,-0.068822673,0.985875506,2.60577E-09
TIMP1,42.80424716,1.806313895,0.057542715,2.60577E-09
PLXDC1,42.80611831,1.743706505,0.205505278,2.60577E-09
IFI35,42.80895807,-0.156640708,0.992125616,2.60577E-09
NDUFV3,42.83767618,-0.830503735,0.622671378,2.60577E-09
MRPS9,42.84328392,0.39152462,0.945020008,2.60577E-09
CENPO,42.84375843,0.734306666,0.728915832,2.60577E-09
ENSG00000309183,42.84413517,0.555321175,0.783692601,2.60577E-09
IDH1,42.87359982,-0.641481857,0.780220942,2.60577E-09
SNN,42.87671266,-1.211947933,0.363622199,2.60577E-09
METTL13,42.90029634,0.997012865,0.507633316,2.60577E-09
TMEM202.AS1,42.9385405,1.163798715,0.368296327,2.60577E-09
ENSG00000259088,42.94615685,1.553187452,0.140313551,2.60577E-09
CRYZ,42.98569295,0.224004842,0.945748184,2.60577E-09
RCN1,42.99128223,-0.530299278,0.860340738,2.60577E-09
ENSG00000297388,42.99741845,0.595230844,0.757750847,2.60577E-09
MRPL16,42.99966861,0.423119064,0.91860188,2.60577E-09
RITA1,43.0436015,0.297019763,0.861583159,2.60577E-09
EOGT.DT,43.0555927,0.018738231,0.997181424,2.60577E-09
ZFAT,43.08355873,-0.149524422,0.967199763,2.60577E-09
ENSG00000253980,43.09395612,1.592399877,0.177276241,2.60577E-09
CSKMT,43.10364209,0.458904124,0.798310129,2.60577E-09
ANKMY2,43.11893178,0.521454418,0.89808349,2.60577E-09
PLCG1.AS1,43.13798425,-0.399063652,0.88122823,2.60577E-09
MED30,43.15114675,0.182351845,0.987129165,2.60577E-09
PYDC5,43.16680685,1.566039847,0.136468992,2.60577E-09
METTL22,43.17759954,-0.575866754,0.813979786,2.60577E-09
ENSG00000261888,43.18056339,0.733305314,0.661922219,2.60577E-09
BRCC3,43.20987181,-0.664230548,0.777850128,2.60577E-09
SAMD10,43.22902971,0.123636493,0.968561199,2.60577E-09
SRM,43.24409504,0.13990132,0.981908079,2.60577E-09
RPAP3,43.26283108,-0.621597557,0.80531415,2.60577E-09
FLT3LG,43.27404039,-0.107869899,0.995588002,2.60577E-09
ENSG00000279432,43.28530307,0.008395877,0.99901435,2.60577E-09
INF2,43.3270117,-1.62721311,0.182845478,2.60577E-09
RASSF7,43.33117682,-0.081222796,0.984026587,2.60577E-09
RUSC1.AS1,43.37714013,0.170112018,0.973270846,2.60577E-09
POMZP3,43.38347775,0.965629458,0.52541364,2.60577E-09
SS18L1,43.40133394,0.270126911,0.910917539,2.60577E-09
SURF1,43.46091298,-0.241901081,0.984623871,2.60577E-09
ENSG00000309149,43.46775182,0.370681808,0.940540836,2.60577E-09
LNX2,43.47108851,-0.081950517,0.985700501,2.60577E-09
TRPT1,43.57341721,-0.144445513,0.986762723,2.60577E-09
EYA3,43.57640111,0.314383084,0.896163585,2.60577E-09
DDN.AS1,43.61086369,1.505903017,0.204615353,2.60577E-09
COA8,43.6526549,-0.203355297,0.932959225,2.60577E-09
DRAM1,43.65379377,1.661657056,0.222255724,2.60577E-09
MCU,43.67531541,0.475645783,0.835937203,2.60577E-09
ENSG00000279277,43.6816866,0.665920538,0.716155722,2.60577E-09
RAMAC,43.70284572,-0.366986312,0.92354897,2.60577E-09
WASHC1,43.70797567,0.377484073,0.846866337,2.60577E-09
IL1RAP,43.71519798,1.799884276,0.130427856,2.60577E-09
TMED3,43.73721776,0.581912944,0.796594883,2.60577E-09
RCBTB2,43.73782542,0.744126281,0.723853381,2.60577E-09
ENSG00000281571,43.75312377,-0.229178616,0.953040868,2.60577E-09
ZNF16,43.76637007,-0.484131082,0.874659137,2.60577E-09
PEX13,43.77689384,0.140142801,0.979918777,2.60577E-09
TRIM5,43.80181791,0.773573793,0.68010183,2.60577E-09
PLEKHA8,43.80514851,0.540396671,0.807488982,2.60577E-09
HSDL1,43.82848292,-0.729715518,0.743726418,2.60577E-09
FARSA,43.83140346,0.00757327,0.997512821,2.60577E-09
TRMT11,43.83699186,-1.087633674,0.4426049,2.60577E-09
CNIH1,43.87595986,-0.149505902,0.971466177,2.60577E-09
ENSG00000280195,43.88046641,0.437583683,0.925585317,2.60577E-09
TRIM16L,43.88895137,-1.070859838,0.504986961,2.60577E-09
CHID1,43.91159246,-0.387909683,0.861553222,2.60577E-09
MTERF1,43.92799192,0.28259414,0.898691757,2.60577E-09
MUC4,43.93459675,2.334394357,0.250114015,2.60577E-09
C1RL,43.94399301,-0.643380305,0.810913794,2.60577E-09
TRPM2,43.96643429,1.765999962,0.154550194,2.60577E-09
CA5BP1,43.98433112,-0.548962493,0.875474246,2.60577E-09
MED27,43.99378254,0.423752542,0.944845311,2.60577E-09
LTO1,44.00432513,0.110441216,0.979839953,2.60577E-09
ENSG00000247679,44.01154051,-0.487427148,0.922515516,2.60577E-09
FDX1,44.06154585,0.11570058,0.97678707,2.60577E-09
ENSG00000262312,44.07421951,-0.221583564,0.956782019,2.60577E-09
INAFM2,44.09114467,-0.941010835,0.548661189,2.60577E-09
ENSG00000285979,44.10111266,-0.679578637,0.78236999,2.60577E-09
GBE1,44.10336778,-1.284689729,0.264011689,2.60577E-09
PTER,44.13452876,0.281937221,0.93566652,2.60577E-09
ADGRA3,44.13515618,0.407884634,0.810973614,2.60577E-09
SMG1P7,44.13690396,-0.029688364,0.998805961,2.60577E-09
TMEM147.AS1,44.13720869,-1.914713272,0.053789128,2.60577E-09
SLC9A7,44.14519271,-1.107334544,0.433699631,2.60577E-09
EXD3,44.14652168,-0.569347373,0.784645066,2.60577E-09
SQLE,44.15005029,-1.267421949,0.314365137,2.60577E-09
BMP1,44.19106756,1.304269847,0.258616374,2.60577E-09
SUCLA2,44.19347225,0.293524978,0.901695587,2.60577E-09
ERCC4,44.31201818,-0.44880539,0.798158865,2.60577E-09
SH3BP4,44.32191226,-1.625442738,0.423331912,2.60577E-09
PSEN2,44.33939192,-0.695870612,0.712625677,2.60577E-09
ST6GALNAC4,44.36581853,-0.4784045,0.826071433,2.60577E-09
ZNF417,44.3790354,-0.406472107,0.882858551,2.60577E-09
LINC03009,44.39255628,0.268732644,0.970446959,2.60577E-09
TPM3P9,44.4000702,-0.462523135,0.963784664,2.60577E-09
CYB5R1,44.43195408,0.202480325,0.96117925,2.60577E-09
WDR35,44.43562789,-1.646312853,0.071733815,2.60577E-09
BNIP3,44.47191529,0.672517317,0.742149963,2.60577E-09
C5orf58,44.50879904,-0.174003057,0.980015173,2.60577E-09
ENSG00000284738,44.50894309,0.203262701,0.952391619,2.60577E-09
PAXBP1.AS1,44.53741721,-0.355007556,0.958749146,2.60577E-09
LINC02210,44.54090054,-0.190051275,0.959886447,2.60577E-09
DBR1,44.55658483,0.082919228,0.991646914,2.60577E-09
ENSG00000259326,44.58097679,0.345785387,0.909114344,2.60577E-09
ELK1,44.58214816,0.427133709,0.952923096,2.60577E-09
LINC00863,44.59665847,-1.609673682,0.20193113,2.60577E-09
DNAAF9,44.60080128,0.433119203,0.917776435,2.60577E-09
ANKRD39,44.61054985,0.434690926,0.930695501,2.60577E-09
ENSG00000258820,44.62227237,0.901166966,0.571987154,2.60577E-09
ZSCAN12,44.6284865,-0.404797735,0.896378807,2.60577E-09
B3GALT4,44.62984941,0.377669514,0.882224311,2.60577E-09
ENSG00000227678,44.63682323,-0.487079279,0.868479384,2.60577E-09
SEMA4B,44.6412995,0.682904645,0.777838769,2.60577E-09
ENSG00000267002,44.66158943,-0.137277952,0.97349944,2.60577E-09
ENSG00000290796,44.70789031,-1.011328426,0.489332609,2.60577E-09
ATP5MF,44.71898107,-0.551409305,0.846988543,2.60577E-09
DNAAF1,44.72752513,0.889357159,0.581616026,2.60577E-09
SLC36A4,44.79992249,-0.172384551,0.986590119,2.60577E-09
SPHK2,44.81283354,-0.032467129,0.99747649,2.60577E-09
CHST10,44.82088309,1.414890229,0.20047776,2.60577E-09
HELLS,44.83853257,-1.675471046,0.144258923,2.60577E-09
WDPCP,44.84227657,-0.204521834,0.985922667,2.60577E-09
ZNF408,44.857124,-0.596407712,0.780473601,2.60577E-09
BRCA2,44.8775231,-1.43109612,0.258091639,2.60577E-09
C18orf32,44.88558013,0.947023314,0.547207048,2.60577E-09
FEN1,44.89546541,0.902131482,0.589909188,2.60577E-09
PAPSS1,44.90270694,0.172101933,0.98579971,2.60577E-09
TRIM73,44.91465199,-0.69858631,0.709147605,2.60577E-09
RUVBL2,44.93146519,-0.053760222,0.990501124,2.60577E-09
NAIF1,44.93750917,0.070308512,0.985922522,2.60577E-09
H2BC5,44.93928408,1.344964429,0.304250698,2.60577E-09
CPSF3,44.95997916,0.221052073,0.964305266,2.60577E-09
MTRFR,44.97899758,-0.245394029,0.969618232,2.60577E-09
EBLN2,45.01837127,-0.183382741,0.976558485,2.60577E-09
SERINC5,45.04613445,0.970225635,0.523451554,2.60577E-09
RHOBTB2.AS1,45.04836223,-0.638037761,0.750945605,2.60577E-09
ENSG00000291063,45.09297264,1.568801084,0.118170967,2.60577E-09
HADH,45.1036394,0.293395918,0.892447486,2.60577E-09
RECQL5,45.11153316,-0.299370129,0.881279275,2.60577E-09
ENSG00000279933,45.11470502,0.124352088,0.958784194,2.60577E-09
WWC2,45.14383476,0.52312669,0.771123171,2.60577E-09
GLRX5,45.17399548,0.269287136,0.942300124,2.60577E-09
PTDSS2,45.19359027,-0.580240625,0.850597595,2.60577E-09
ENSG00000259623,45.21755372,0.238856849,0.969217545,2.60577E-09
MED9,45.22279218,-0.092141076,0.995071197,2.60577E-09
POU6F1,45.23539125,-0.334911401,0.850346468,2.60577E-09
SLC38A9,45.23788751,-0.450137626,0.822444337,2.60577E-09
PCMT1,45.26456699,0.092020633,0.995059814,2.60577E-09
ENSG00000279133,45.26605873,0.106737204,0.99101331,2.60577E-09
ENSG00000245156,45.270109,-0.12274112,0.984996344,2.60577E-09
SLAIN1,45.28650659,-0.107229264,0.972867279,2.60577E-09
PON2,45.29301708,-1.367865466,0.180704885,2.60577E-09
FEM1A,45.2933954,0.4506119,0.916102168,2.60577E-09
MCOLN1,45.29685996,0.938228881,0.548848199,2.60577E-09
CUBN,45.30407672,-0.463021169,0.802278923,2.60577E-09
GPANK1,45.31053082,-0.044492489,0.994989828,2.60577E-09
PTRH2,45.32931773,-0.654469964,0.75931532,2.60577E-09
TIMM23,45.33107914,0.359995534,0.970398262,2.60577E-09
GPR89B,45.35831637,-0.009934239,0.998292619,2.60577E-09
ENSG00000286588,45.37115787,-0.216531931,0.97915585,2.60577E-09
LZTFL1,45.38000984,0.800581647,0.629491212,2.60577E-09
ENSG00000297420,45.38959855,1.09252161,0.443157056,2.60577E-09
ENSG00000259661,45.39247311,0.456406876,0.890757589,2.60577E-09
ZNF737,45.40108656,0.211007912,0.913262113,2.60577E-09
SNORD17,45.40133572,1.477924233,0.242064835,2.60577E-09
ZNF525,45.4156508,0.240143986,0.920155804,2.60577E-09
GMDS,45.41608134,-0.072403199,0.987576682,2.60577E-09
TYSND1,45.41949149,0.669271645,0.789763408,2.60577E-09
ATF5,45.4492871,-0.830568205,0.663777576,2.60577E-09
TEX30,45.45653286,-0.192532774,0.978601223,2.60577E-09
TRIM35,45.46767318,-0.113104567,0.953196248,2.60577E-09
CCDC142,45.50661375,0.094077932,0.986969847,2.60577E-09
SLC1A5,45.51138427,-1.217267073,0.343638932,2.60577E-09
RPE,45.54590899,-1.460532994,0.226425649,2.60577E-09
GTF2E2,45.5526924,0.40102465,0.937386946,2.60577E-09
ATP9A,45.59447689,-0.43307855,0.814299435,2.60577E-09
TOR4A,45.63663541,0.82150501,0.657873047,2.60577E-09
LINC00852,45.6367638,0.357693013,0.958750604,2.60577E-09
MRPS2,45.63809612,0.534443345,0.888927017,2.60577E-09
HYI,45.64765232,0.237583559,0.961386936,2.60577E-09
SLC35B4,45.65534421,-0.474610855,0.784871528,2.60577E-09
KYAT3,45.66100694,-0.106111078,0.994448638,2.60577E-09
PLGLB1,45.66907319,-0.280281571,0.877458912,2.60577E-09
LRRC8D,45.70488345,-0.756894116,0.655312277,2.60577E-09
MAP3K14.AS1,45.71011055,-0.248478956,0.955647698,2.60577E-09
H2AJ,45.73831428,0.082857456,0.978052075,2.60577E-09
LARP1B,45.75770629,-0.76803556,0.712147987,2.60577E-09
MFAP3,45.75935475,0.13443284,0.973175268,2.60577E-09
LTB4R2,45.79160899,0.124584302,0.987751552,2.60577E-09
WDR27,45.79960582,-0.904306901,0.578886738,2.60577E-09
IRAK2,45.84795681,-0.432025013,0.890321435,2.60577E-09
CEP97,45.87305093,-0.45048185,0.927807243,2.60577E-09
WDR5B.DT,45.88586698,-0.28420141,0.917024153,2.60577E-09
IMP3,45.88896277,0.417649899,0.888499199,2.60577E-09
TCEA2,45.89101659,-0.527326049,0.849851715,2.60577E-09
TM9SF1,45.91123836,0.030392395,0.994400585,2.60577E-09
DTNB,45.91289891,-0.246897133,0.950154518,2.60577E-09
SLC24A1,45.91965426,-0.846755577,0.599273944,2.60577E-09
ENSG00000280385,45.92217686,-0.224429699,0.973206467,2.60577E-09
DUSP7,45.92767289,-0.395152076,0.949633691,2.60577E-09
DIAPH1.AS1,45.94574299,0.449679924,0.929863762,2.60577E-09
TM2D1,45.9596629,-0.044050771,0.99064752,2.60577E-09
ZNF260,45.97151318,-1.475712902,0.262228895,2.60577E-09
EEF1AKMT2,45.98513298,-0.302181294,0.921531953,2.60577E-09
TBC1D24,45.98968588,-0.659245989,0.751409893,2.60577E-09
ADARB1,45.99677793,-1.123486087,0.404125717,2.60577E-09
PIK3CD.AS1,46.00537205,-0.616961465,0.831684022,2.60577E-09
C19orf53,46.03205546,-0.291638094,0.974688635,2.60577E-09
EFHC2,46.03269212,-1.816492342,0.099521842,2.60577E-09
TBCE,46.0591993,0.332237662,0.86073121,2.60577E-09
SAMTOR,46.05950846,0.020622,0.997505858,2.60577E-09
MED8,46.0670101,0.358561477,0.916863808,2.60577E-09
CPAP,46.08405374,0.008221791,0.99667485,2.60577E-09
ENSG00000267244,46.09465657,-0.055181949,0.99304068,2.60577E-09
TMEM179B,46.10984583,0.605039196,0.819434988,2.60577E-09
EXO5,46.14034153,0.394837127,0.860191994,2.60577E-09
CARNMT1,46.14983907,0.346522523,0.896514874,2.60577E-09
ESR2,46.15601225,1.648928606,0.106367774,2.60577E-09
ZNF701,46.16493762,0.517197567,0.819134089,2.60577E-09
DLEC1,46.21294824,0.263647082,0.909853541,2.60577E-09
DPH2,46.21337561,-0.090879835,0.988975256,2.60577E-09
ZBTB8OS,46.24968571,-0.390262169,0.892209669,2.60577E-09
TSPAN4,46.25329588,-2.070343347,0.04727976,2.60577E-09
ANKS3,46.26859966,-0.478470121,0.903360056,2.60577E-09
TMEM104,46.29118007,1.639497215,0.172005446,2.60577E-09
TDRD7,46.29590224,-0.667100402,0.77854841,2.60577E-09
GPATCH2,46.30642927,-0.548796561,0.857336989,2.60577E-09
RFC5,46.30703439,0.063504408,0.986805833,2.60577E-09
MTG2,46.38245495,0.231557379,0.936140105,2.60577E-09
DGCR6L,46.39058494,-0.010929007,0.999182114,2.60577E-09
INSIG1.DT,46.41073618,1.428519798,0.134949878,2.60577E-09
LYRM1,46.42015086,-0.462710689,0.910458585,2.60577E-09
MEA1,46.42566663,0.03537349,0.995529913,2.60577E-09
UAP1L1,46.43050344,-0.557587736,0.894444715,2.60577E-09
MPV17,46.43400891,-0.102280357,0.991941297,2.60577E-09
POLD2,46.4345785,0.560766409,0.788873635,2.60577E-09
RNF24,46.43542257,-0.627415529,0.792680745,2.60577E-09
ANXA2R,46.44234891,1.064912052,0.457398529,2.60577E-09
MCTS1,46.44533638,-0.407957953,0.858103181,2.60577E-09
COG6,46.49343623,-0.673670217,0.690158076,2.60577E-09
LYSMD2,46.52833604,-0.345015016,0.926103001,2.60577E-09
ENSG00000286035,46.53953088,-0.467868032,0.944881541,2.60577E-09
PLSCR1,46.57128012,-0.243471596,0.904415952,2.60577E-09
TRAPPC5,46.57653038,-0.345740641,0.849834097,2.60577E-09
ENSG00000288813,46.58864861,0.391104304,0.849243452,2.60577E-09
ENSG00000286885,46.59278669,0.915377823,0.569262021,2.60577E-09
TMEM147,46.60172692,-0.715132306,0.73025559,2.60577E-09
TTC22,46.60800088,-0.132694735,0.986316569,2.60577E-09
LINC02288,46.61023222,0.171525078,0.946768776,2.60577E-09
PPIEL,46.62036504,-0.02492261,0.994772113,2.60577E-09
NEK4,46.62316295,-0.640203943,0.722752939,2.60577E-09
PER3,46.66654737,0.340900134,0.872297759,2.60577E-09
ITPKC,46.68283805,0.388268777,0.874372958,2.60577E-09
ENSG00000285725,46.69411865,0.214261306,0.951076493,2.60577E-09
CEP85,46.70031726,1.33069081,0.299297562,2.60577E-09
MRPS6,46.70726931,-0.291850272,0.967446368,2.60577E-09
UNC50,46.71617291,-0.776641918,0.677653702,2.60577E-09
ANKS6,46.73952994,0.445606826,0.911236377,2.60577E-09
STIMATE,46.80581641,-0.397215567,0.812296511,2.60577E-09
ZNF747,46.81264568,-0.297186309,0.981803785,2.60577E-09
POFUT1,46.82861168,3.18E-05,0.999995938,2.60577E-09
ZNF100,46.85541103,-0.461821918,0.810120311,2.60577E-09
MRPS21,46.86814258,-0.475360926,0.924710297,2.60577E-09
TEDC1,46.90298496,0.035827592,0.998406146,2.60577E-09
NCDN,46.92260448,-1.35909425,0.240852901,2.60577E-09
ENSG00000301761,46.92362926,0.295302285,0.928956287,2.60577E-09
GIPR,46.92519147,2.057246628,0.03951075,2.60577E-09
SORBS3,46.96666161,-0.066276536,0.983888088,2.60577E-09
TAF13,46.98582865,0.240924326,0.963706784,2.60577E-09
SLC45A4,47.02132487,0.356464912,0.911697812,2.60577E-09
UEVLD,47.03796762,0.204600795,0.955740065,2.60577E-09
ZNF532,47.0414159,-0.045965693,0.992555838,2.60577E-09
STMN1,47.04249085,1.00355138,0.499684247,2.60577E-09
PPA1,47.08629871,-0.939626717,0.55113716,2.60577E-09
KLC1.AS1,47.08653151,-0.628547234,0.851005174,2.60577E-09
CCS,47.09989666,-0.083530942,0.989442367,2.60577E-09
PCCA,47.11667393,-0.243553688,0.922896976,2.60577E-09
AP1AR,47.12254559,0.04207709,0.996499461,2.60577E-09
DCAF12,47.13414631,0.287840427,0.978284839,2.60577E-09
ENSG00000280287,47.15360165,-0.527611087,0.838316951,2.60577E-09
SYNE3,47.15410154,0.63417632,0.728900245,2.60577E-09
COPS7A,47.154812,0.151641978,0.970000454,2.60577E-09
BISPR,47.16335128,0.688829949,0.787540457,2.60577E-09
SNAPC2,47.19460962,0.269547408,0.957614213,2.60577E-09
CSTF2T,47.19660963,-0.422093531,0.921067053,2.60577E-09
FAM182A,47.20419094,2.053900313,0.047435466,2.60577E-09
ENSG00000266918,47.24423542,-0.466973453,0.936063072,2.60577E-09
TIPRL,47.25813856,-0.110434555,0.972222067,2.60577E-09
SLC46A1,47.26041704,0.224471988,0.936948336,2.60577E-09
ENSG00000285646,47.27652585,1.540700215,0.214087515,2.60577E-09
ENSG00000279649,47.29645182,-0.877274228,0.625999549,2.60577E-09
CBR4,47.31818175,-0.169902887,0.973645624,2.60577E-09
ERICH6.AS1,47.34915653,0.221067087,0.922300295,2.60577E-09
ZSCAN30,47.35231074,-0.739723228,0.695942115,2.60577E-09
CCDC22,47.37426641,0.561395011,0.858350803,2.60577E-09
CCDC43,47.37621201,-0.327639132,0.973174867,2.60577E-09
DOK1,47.37665208,-0.520202599,0.878275214,2.60577E-09
GPATCH11,47.37740251,-0.452321858,0.912640404,2.60577E-09
TECPR2,47.39071205,-0.30700324,0.889608716,2.60577E-09
HOXB.AS1,47.40305815,-0.492352287,0.887694661,2.60577E-09
DHFR,47.41129048,0.252034841,0.92812379,2.60577E-09
VPS50,47.42827841,-0.038099372,0.990263304,2.60577E-09
ZNF444,47.43415351,0.136009702,0.968336648,2.60577E-09
ENSG00000233974,47.46446925,-0.091949761,0.95596463,2.60577E-09
KATNA1,47.47174728,0.514465285,0.872016218,2.60577E-09
RHBDD1,47.48198974,-0.486239286,0.835447488,2.60577E-09
ELAPOR2,47.50068839,-0.219588291,0.948608348,2.60577E-09
CHST7,47.53401159,0.619414655,0.809547291,2.60577E-09
ACOT13,47.54744005,-0.170911352,0.99326006,2.60577E-09
TCTN3,47.55782545,-1.304496771,0.257771102,2.60577E-09
EHBP1.AS1,47.57764971,0.207286069,0.917152493,2.60577E-09
MDM1,47.58233607,-0.991381291,0.50886776,2.60577E-09
PRKCH.AS1,47.58321905,0.435242142,0.867167879,2.60577E-09
TMEM184C,47.5855807,-0.324538857,0.943300552,2.60577E-09
CNPY2,47.59016319,-0.606821541,0.873129167,2.60577E-09
CZIB,47.61546364,0.21398823,0.96605821,2.60577E-09
PGAP2,47.62439723,0.093690809,0.986452066,2.60577E-09
MRTFB,47.62729432,0.245446095,0.923648262,2.60577E-09
ENSG00000287286,47.63981373,-0.300675376,0.951009056,2.60577E-09
SPEF2,47.66825171,-0.825037245,0.599790222,2.60577E-09
INTS9,47.67528412,0.632211796,0.753988383,2.60577E-09
GRWD1,47.67913603,-0.089496263,0.985219022,2.60577E-09
ENSG00000288887,47.6997672,-0.838006381,0.669254328,2.60577E-09
STK36,47.7249036,-0.10858882,0.955665408,2.60577E-09
MRPL3,47.75658263,-0.581539724,0.874681694,2.60577E-09
CCDC28A,47.75929535,-0.224777652,0.977146047,2.60577E-09
GEMIN8,47.75971757,-0.563765375,0.868567471,2.60577E-09
DDX28,47.76661065,-0.129302953,0.993138573,2.60577E-09
DIMT1,47.7906284,-0.270838744,0.963342666,2.60577E-09
TEX2,47.79874778,0.447792695,0.802887361,2.60577E-09
ENSG00000273154,47.83099691,0.305865661,0.857367755,2.60577E-09
ZNRD2,47.84172881,0.264604736,0.935139526,2.60577E-09
DTX2,47.85144759,1.554909083,0.151190354,2.60577E-09
ENSG00000235978,47.85667417,-0.152633876,0.934054781,2.60577E-09
ZNF268,47.86533919,-0.135584847,0.964188817,2.60577E-09
SUFU,47.87108286,-0.038220805,0.99659451,2.60577E-09
NME6,47.88618968,-0.415650447,0.862367709,2.60577E-09
YIPF1,47.88980972,0.218058732,0.961923538,2.60577E-09
WDR54,47.92553216,-0.022155452,0.997937796,2.60577E-09
TRD.AS1,47.93642214,-0.77403355,0.683819976,2.60577E-09
COX7B,47.94909585,0.302370528,0.895627515,2.60577E-09
EOLA1.DT,47.96042191,-0.015468114,0.995070841,2.60577E-09
FOXO3B,47.97281357,0.544608618,0.749470435,2.60577E-09
ZC3H8,48.00188354,-0.687296814,0.71025889,2.60577E-09
ENSG00000266993,48.02735182,1.908523553,0.173625238,2.60577E-09
CLCF1,48.05322572,2.12263981,0.059138073,2.60577E-09
FANCC,48.06190132,1.672969057,0.169726309,2.60577E-09
CDIN1,48.07182161,-2.795145696,0.057403171,2.60577E-09
ITPA,48.07994394,-0.30656222,0.928470282,2.60577E-09
ZNF552,48.09882887,-0.159915011,0.97686555,2.60577E-09
THEM4,48.10206792,-1.299746832,0.279742376,2.60577E-09
CSTPP1,48.13329371,-0.101781209,0.998457274,2.60577E-09
LINC00938,48.13848784,-0.425775192,0.831557209,2.60577E-09
SLC30A4,48.17531817,0.505672991,0.883949739,2.60577E-09
GGPS1,48.18946052,-0.525899116,0.841618054,2.60577E-09
HELQ,48.24073112,0.004269711,0.998954967,2.60577E-09
ZNF32,48.25787231,-0.281312002,0.981974544,2.60577E-09
AP4S1,48.25906848,-0.913685407,0.605344239,2.60577E-09
ENSG00000241490,48.26821708,0.812462856,0.606688016,2.60577E-09
LINC01089,48.27570901,-0.512345299,0.790672142,2.60577E-09
PIGY,48.28112677,-0.301116835,0.919942142,2.60577E-09
SNRPD1,48.29168341,0.549594382,0.765917061,2.60577E-09
POMGNT2,48.29528685,0.512852094,0.859611797,2.60577E-09
SGTB,48.30760561,-0.56918747,0.830942123,2.60577E-09
ENSG00000286242,48.31383196,-0.306266103,0.924205648,2.60577E-09
TTF1,48.32269291,0.014776078,0.999815444,2.60577E-09
RASA4B,48.32708391,0.299008766,0.934505459,2.60577E-09
DERPC,48.40047323,1.341434469,0.372897155,2.60577E-09
TNXB,48.402261,0.78024936,0.620328992,2.60577E-09
ATP5ME,48.40466055,-0.115259925,0.989903196,2.60577E-09
SQOR,48.40738296,0.703174934,0.771571385,2.60577E-09
LRRC45,48.43356888,0.097973179,0.983233153,2.60577E-09
CCNB1IP1,48.50345133,0.015234962,0.998301643,2.60577E-09
SLC26A2,48.513148,0.199707376,0.951716739,2.60577E-09
RPP14,48.52981694,0.611312782,0.784247229,2.60577E-09
RAB3GAP1,48.54186979,-1.290441882,0.290566251,2.60577E-09
KLHL42,48.57415927,0.287166558,0.942092744,2.60577E-09
TMEM201,48.58117952,0.453335723,0.849900475,2.60577E-09
ZNF182,48.59058262,-0.234014217,0.980373865,2.60577E-09
POLR2H,48.5921461,0.33753794,0.975828835,2.60577E-09
ERCC8,48.60843615,-1.085511621,0.430262732,2.60577E-09
SAP25,48.60978329,-0.302137189,0.911892148,2.60577E-09
ZBTB11.AS1,48.61101699,0.107107758,0.980141275,2.60577E-09
POLI,48.61263712,0.971288237,0.523265397,2.60577E-09
ENSG00000307181,48.63279373,-0.126587039,0.9868257,2.60577E-09
LINC03072,48.65253978,-0.673318831,0.674731203,2.60577E-09
RALGPS2,48.67540781,-1.262422234,0.381741289,2.60577E-09
CCDC146,48.68511435,0.306106105,0.957069136,2.60577E-09
AFG2A,48.68650148,-0.357524429,0.925235246,2.60577E-09
B3GLCT,48.70582971,0.892003797,0.605926602,2.60577E-09
SEC61A2,48.73354608,0.352531442,0.934583259,2.60577E-09
PTS,48.73844063,-0.054461914,0.996701903,2.60577E-09
SUOX,48.74994043,-1.797801852,0.108480051,2.60577E-09
RNU2.1,48.77592403,-3.124237731,0.39609634,2.60577E-09
SLC25A29,48.77872561,-0.98774469,0.509088084,2.60577E-09
PAK4,48.78389516,0.176727779,0.94379225,2.60577E-09
ENSG00000291220,48.80641712,-0.971900745,0.519629028,2.60577E-09
SEC11C,48.83668812,-0.200458712,0.976314525,2.60577E-09
MGST3,48.84090395,0.282363606,0.946205509,2.60577E-09
PHAF1,48.86052878,0.092129696,0.995874234,2.60577E-09
FCF1,48.86306365,0.158965333,0.964015426,2.60577E-09
KANTR,48.87421577,-0.675715633,0.749731512,2.60577E-09
HSD17B12,48.87776615,0.051954175,0.991231064,2.60577E-09
LMF1,48.88185453,0.577228786,0.802910091,2.60577E-09
PHF5A,48.89087756,0.428433749,0.942038044,2.60577E-09
VASH1,48.89408938,0.447211574,0.926605815,2.60577E-09
TIMM22,48.89905563,0.053008111,0.997869379,2.60577E-09
ENSG00000270640,48.90381597,-0.681839576,0.776656221,2.60577E-09
PARL,48.93374669,-0.490060473,0.81229549,2.60577E-09
ATP5PDP4,48.99018714,-0.064361848,0.992304789,2.60577E-09
HUS1,49.00141898,0.336394834,0.921609248,2.60577E-09
STAM2,49.01226488,0.100042248,0.992639438,2.60577E-09
TRIM52.AS1,49.02931257,0.237744938,0.958431271,2.60577E-09
RSL1D1.DT,49.03315629,-0.079572769,0.995456357,2.60577E-09
MEI1,49.04978419,-0.133568256,0.987013903,2.60577E-09
NUDT5,49.05978843,-0.562862904,0.839016388,2.60577E-09
RALB,49.0618983,1.330785559,0.289215459,2.60577E-09
