x,y,time,peptide
-26.6621454283401,-11.990481468853682,6,G4
30.177297514922422,4.72934609964961,6,G4
-12.45337345310884,2.2216907893877695,6,G4
23.03442591335227,-15.361844691407317,6,G4
-24.17662534733775,-9.66045855535862,6,G4
-16.847585511350474,-6.195484889561279,6,G4
17.186518804687317,-0.06108150386289475,6,G4
14.7999006307204,-2.9451551455595935,6,G4
-32.19907776847958,-11.199893053283656,6,G4
-31.85287764526713,-10.863638998105856,6,G4
16.06980054647175,4.007568491916079,6,G4
27.66773717104457,-5.321521400013274,6,G4
15.32706814312548,9.286009367603349,6,G4
-7.688833668356236,-4.623771821034132,6,G4
34.1116751510299,-1.8181856964142835,6,G4
27.610690967773728,-2.612215673161735,6,G4
29.38529273315249,8.421701974229414,6,G4
-28.778934609602068,-7.329303444406643,6,G4
28.708675429170356,1.2694958455156136,6,G4
33.719136714989396,10.251662536644064,6,G4
33.7911791309518,-4.12610214291426,6,G4
28.260838432083208,6.528870909864156,6,G4
-20.144420955673375,1.1745096370379031,6,G4
-33.78087236273274,-6.956538991196941,6,G4
-31.331763366011906,-7.9990672878141025,6,NP68
-11.12549532730883,-12.163126200840448,6,NP68
-38.8327587935848,-9.300970054580027,6,NP68
-41.399969887907474,-10.81675265697864,6,NP68
-29.399012098334357,-12.28694208781316,6,NP68
-35.74032548287766,-10.848186401596775,6,NP68
-20.0103181095989,-12.586461611738809,6,NP68
-26.2279953669523,-14.836610332211,6,NP68
-34.32609173647832,-10.473385281577835,6,NP68
-34.16493687133178,-11.54888469653286,6,NP68
-28.92093456143607,-11.94685012110718,6,NP68
-36.14870930188086,-14.68653709077704,6,NP68
-38.702694202850424,-6.358506282571001,6,NP68
10.469839709917766,-7.226647254720428,6,NP68
-42.64341362457465,-9.051794220446148,6,NP68
-23.748809905966784,-16.873313916131885,6,NP68
14.763835788517072,-1.9195314045993277,6,NP68
-37.70255732522184,-13.624796299090663,6,NP68
-39.4684544022464,-9.748973378237906,6,NP68
-36.96296886220195,-8.887334148057972,6,NP68
-37.736746633101355,-4.00933192609478,6,NP68
-39.32567600371212,-5.623139726715562,6,NP68
-31.706905051089077,-12.936072981913728,6,NP68
-34.80459806902657,-15.553791540227849,6,NP68
-7.547420996102335,-15.74663725825694,6,N4
20.220658840897748,-16.590390064755283,6,N4
31.625047788280057,-7.520872813935217,6,N4
40.22171561221072,-9.503006172818894,6,N4
38.98012672053751,2.4698209667558344,6,N4
34.200759376421004,0.4221705259917984,6,N4
37.06585109534459,-4.916488169165814,6,N4
36.37419899865111,1.43015163835298,6,N4
36.429507252017224,-10.38801711585494,6,N4
31.336742363099873,-18.74054122108927,6,N4
30.96990863905147,-7.212609246121721,6,N4
33.348818544863455,-1.5481608586258493,6,N4
38.32172015331308,-9.555847855935182,6,N4
28.7610976983742,-15.866944073642546,6,N4
38.210407474635886,-4.013681415858757,6,N4
33.829462071749745,-5.5747847114367985,6,N4
13.911401808281065,-16.470993948493405,6,N4
36.16334191149161,0.8222714781424638,6,N4
35.68516051187322,-9.352044266182848,6,N4
29.86600974886727,-11.520298732953789,6,N4
36.53841745674719,-6.912702976431836,6,N4
34.78417180768836,-3.247695114457998,6,N4
35.06166466056683,-3.9615598878202354,6,N4
-19.03189215753024,-6.381296243873276,6,T4
20.49952803549223,-15.090983720580878,6,T4
-14.591988394346826,-3.635920110152131,6,T4
16.094648652954398,14.055414403352351,6,T4
14.381100120730649,11.866431176687875,6,T4
14.451300112111484,6.605430457340614,6,T4
30.988787268244224,-8.753711517845236,6,T4
30.246317548819977,-10.25109725927326,6,T4
36.55853906579602,7.639250339276519,6,T4
37.00539500737674,4.1888733875762965,6,T4
27.73845149586716,-0.3276951631745709,6,T4
34.332689989177375,0.8937794326481893,6,T4
26.286869322491164,8.355688184386997,6,T4
25.90910195481492,10.531091155481414,6,T4
32.52599686282824,4.9216846556518465,6,T4
32.843985632896505,-4.121602599968698,6,T4
30.216754265599977,8.950353707048109,6,T4
28.789634810468524,0.365046820365192,6,T4
23.787400809431965,-3.6311979580040097,6,T4
38.91117225624116,-2.811977276947849,6,T4
28.90218494980527,-10.427008409916874,6,T4
10.64468833028489,-10.932792368461415,6,T4
34.64473843202591,3.269573233094292,6,T4
28.10620843276863,0.05046635858354492,6,T4
32.266898461079535,-0.2685348705718266,6,T4
34.30866297793687,5.7269656102001125,6,T4
29.588575367216173,-4.85315998376501,6,T4
33.723996206805275,-11.051563870775723,6,T4
38.593565775840666,5.507931924025023,6,T4
28.761791517816174,-4.941750460477594,6,T4
32.813708693877615,-6.865447456758829,6,T4
39.252510077513705,2.1508677386084036,6,T4
29.98443459955755,11.107761429767216,6,T4
14.372109547078978,10.584664529101966,6,T4
22.839597477032857,12.051153180740693,6,T4
27.079254103216837,1.6195471355403028,6,T4
20.93922240067315,14.506664537555574,6,T4
3.6817016245787584,-10.296641159780345,6,T4
29.691941438325383,0.67683937791496,6,T4
35.01130206207848,0.63803862414661,6,T4
31.54137403913524,10.16496454184612,6,T4
-29.436414336361505,-0.9897343264487763,6,T4
-34.098772839324035,-11.32742210697312,6,T4
19.638461623299698,12.007198003869943,6,T4
30.587319827927196,3.529336129195444,6,G4
8.811905162328634,3.235256413416258,6,G4
7.723237073023237,-12.33078922170444,6,G4
-4.594595451380558,5.219036131152329,6,G4
-21.39492323839104,7.608597259971662,6,G4
-1.041299601002742,3.612266104194264,6,G4
-37.30195920548932,-5.799748070992701,6,G4
3.5275039317200263,8.787794259089312,6,G4
23.300655144050378,-2.9239850905132156,6,G4
-36.49598223267876,-9.78763733533694,6,G4
17.636809279634125,4.546113869951942,6,G4
22.40513891087431,-4.5415765706797915,6,G4
-3.3136223909982148,-9.446300624063038,6,G4
42.108289397101665,3.0491874213863883,6,G4
-13.624665143499056,-14.541148790383245,6,G4
33.787739070780184,5.997324262351699,6,G4
-3.1454981432522984,17.062516462475777,6,G4
19.1662895169784,7.029314143339386,6,G4
-13.051891816659689,1.9920579748467009,6,G4
4.259589729896675,-4.057349874967283,6,G4
31.239927570268225,5.831527670403746,6,G4
-3.921388643942184,4.235008445741914,6,G4
-20.460776822856392,-13.253058164677231,6,G4
9.17604255776292,1.567952210560715,6,G4
-35.82072491793113,-7.874135797052363,6,NP68
-40.332651685337915,-9.552340475702035,6,NP68
-45.066661670980125,-16.05619716633368,6,NP68
-27.371464569703587,-11.66517636058576,6,NP68
-37.50061171315343,-12.073127491133244,6,NP68
-40.66326017596346,-12.271249521304044,6,NP68
-39.45197998881357,-10.933718227279444,6,NP68
-24.725393467797932,-5.874445056804829,6,NP68
-6.310929911855588,1.2788795738061791,6,NP68
-43.21247829560726,-11.27939119949048,6,NP68
-38.726620248425846,-16.257356174273383,6,NP68
-34.30144837328562,-12.590151278095568,6,NP68
-40.90462272778536,-10.930467051570195,6,NP68
-33.84491152720427,-12.184424799527944,6,NP68
-23.239246788873004,-16.255623114383692,6,NP68
-38.09317514659554,-14.952174931709052,6,NP68
-39.55805305322914,-11.555865591439812,6,NP68
-42.88344719229646,-9.846459256671531,6,NP68
-11.081750122274656,-18.08146391603958,6,NP68
-38.42261167297709,-11.858048314041149,6,NP68
-5.5322849097878635,-9.964430996178304,6,NP68
-39.17465147759007,-11.651904714003306,6,NP68
-20.122178101575543,-18.978652278545905,6,NP68
35.6478914753006,-11.264679468907564,6,N4
37.10259378441481,-3.707824359485141,6,N4
30.549835308562535,-11.718853246445612,6,N4
36.8122021675178,-10.216305046703727,6,N4
37.280670060415126,-13.732763687110609,6,N4
34.15251022151831,-4.611166094365646,6,N4
28.55403543641952,-8.982875551276502,6,N4
37.002548212408,-14.43411886139252,6,N4
30.774678031090684,4.805847023911718,6,N4
32.02040663990152,-1.808972137537398,6,N4
34.211512299599875,-10.17181652634302,6,N4
31.974622484869972,-12.04022275068298,6,N4
32.63982223407975,-6.656118422904817,6,N4
33.390558531935575,7.084909702507964,6,N4
28.306233834308703,-4.1905674141504,6,N4
39.53076303096912,-1.3426193380024674,6,N4
25.982080457098093,-12.219219971881484,6,N4
34.110654669737144,-8.538822112496858,6,N4
31.05277856389813,-3.094162428631419,6,N4
34.94894185614028,-5.103484062693083,6,N4
33.73870739150753,-14.341147111619112,6,N4
39.383184623585265,-6.97120051788236,6,N4
30.389357862383843,-4.91258454921472,6,N4
41.22322156923519,-2.43955121725746,6,N4
31.433805320428963,-8.02477276963597,6,N4
33.66296153558417,-8.620159343842275,6,N4
34.27448610428912,-10.388059719264652,6,N4
41.28043534902953,-3.9899138757755,6,N4
35.07708803710279,-5.220433626352448,6,N4
27.428984294973887,-4.100746069388301,6,N4
40.7460814759099,-2.137903882193426,6,N4
33.64752720027114,0.720456885463223,6,N4
38.4435574605132,0.956667378174331,6,N4
18.95147705535651,15.020619044430273,6,N4
-4.320375967794272,1.9915358340633609,6,T4
7.407424804900335,-11.35741360332016,6,T4
33.51731853607951,-8.875460332674072,6,T4
31.44955329485049,0.13004693950997792,6,T4
22.857733302357097,-3.8922588671233354,6,T4
29.114570824273375,-9.825093499590498,6,T4
32.22589838787161,2.1515486902942595,6,T4
-10.667725564260977,-9.148701734421564,6,T4
0.4918300353674361,5.8936065688994175,6,T4
29.281041976235688,-5.8454367211026685,6,T4
29.19655539223137,-12.333534035523254,6,T4
43.48479120984038,0.6408086200270419,6,T4
-31.114513673714445,-1.5490368636348366,6,G4
21.248722592179828,0.6246269419799514,6,G4
-38.357835390667354,-5.610013800211271,6,G4
-2.879536623359915,12.313966778512002,6,G4
-16.444754956694528,1.5584091748433015,6,G4
9.113249050374304,-15.681006825734276,6,G4
6.319094550633227,6.850757367930164,6,G4
4.204094429346205,-7.722318608112231,6,G4
-39.04957328223527,-6.54514974602139,6,G4
25.00738711819502,-5.519661230134694,6,G4
25.066060229433873,-11.38514279218898,6,G4
-20.379150099306283,-8.364055856905141,6,G4
-37.07919033979034,-8.66092380286678,6,NP68
-44.02344776286897,-6.142680592243969,6,NP68
14.563125412116996,-0.1886477802936588,6,NP68
-41.26908144619925,-8.594434815097298,6,NP68
-38.73476256448217,-9.54519515774659,6,NP68
-46.48025794698041,-7.8308872849139055,6,NP68
-45.06947658056341,-7.077488088544585,6,NP68
-36.99538677400685,-12.552566756895596,6,NP68
-37.57949512455079,-7.504817516796713,6,NP68
-42.86190789678996,-3.101724101350206,6,NP68
-37.50173159459757,-13.340830662172117,6,NP68
-42.77797932324574,-7.644164806221524,6,NP68
21.351848003103072,6.164530891866018,3,N4
34.98634292989602,4.1318387863743284,3,N4
29.846565956683143,-0.5515445811058353,3,N4
28.142209956574774,-5.850994926111216,3,N4
32.16570565160043,7.401932567219019,3,N4
35.435827087900584,6.121864870255145,3,N4
