age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69transcript,CD25transcript,Cd44transcript,Cd62ltranscript,PC1,PC2,TSNE1,TSNE2,UMAP1,UMAP2
25,1,OK,pass,OK,0.3,0.3,0.78,3.62,Plate 3 A1,Plate 3 A1,G4,6,0.5491145919787727,9.06,3.05,0,4.51,-26.6621454283401,-11.990481468853682,0.03922927950195828,-4.779277625962866,-2.5278398365524923,-0.41616943065839074
25,1,OK,pass,OK,2.9,1.91,1.45,2.87,Plate 3 A2,Plate 3 A2,G4,6,0.6850773621102756,6.06,7.03,5.17,9.99,30.177297514922422,4.72934609964961,0.949242849532646,6.4811722597790835,3.4387713103743875,1.5243718367366288
25,1,OK,pass,OK,0,0.48,1.88,3.44,Plate 3 A3,Plate 3 A3,G4,6,0.7427098808278191,8.69,6.15,2.33,9.97,-12.45337345310884,2.2216907893877695,1.8660821980251847,-1.1717514341270239,0.31765085749352817,0.5051035624293778
25,1,OK,pass,OK,3.17,2.22,0,2.43,Plate 3 A4,Plate 3 A4,G4,6,0.6848969504066678,3.29,7.06,1.3,3.66,23.03442591335227,-15.361844691407317,2.952575872022202,11.17299423811371,3.664654317423948,0.1638388376979325
25,1,OK,pass,OK,1.98,1.15,1.04,3.12,Plate 3 A5,Plate 3 A5,G4,6,0.9985968206400828,9.12,1.59,0,3.91,-24.17662534733775,-9.66045855535862,0.6174012668085784,-4.4819704839944725,-2.6251460880783712,-0.3151996392460372
25,1,OK,pass,OK,2.33,0.48,1.4,3.15,Plate 3 A6,Plate 3 A6,G4,6,1.1512251218923657,8.21,1.85,0.9,2.99,-16.847585511350474,-6.195484889561279,0.18186981044422115,-3.791578208929227,-2.3200567335632956,-0.22084357921796105
25,1,OK,pass,OK,2.8,1.77,1.26,3.02,Plate 3 A7,Plate 3 A7,G4,6,1.4099941386697654,6.87,4.98,0,7.16,17.186518804687317,-0.06108150386289475,-1.133762249805498,3.619183123559081,3.2352233558150614,0.15597126300616004
25,1,OK,pass,OK,2.87,0.7,1.61,2.97,Plate 3 A8,Plate 3 A8,G4,6,1.6161099997492,0.69,3.36,0,7.71,14.7999006307204,-2.9451551455595935,-2.238326606681249,4.318270149397218,3.2715507178756082,0.6545159559993241
25,1,OK,pass,OK,1.62,0.48,0,3.52,Plate 3 A9,Plate 3 A9,G4,6,1.023268121108463,7.66,0.98,0.98,3.97,-32.19907776847958,-11.199893053283656,1.1416564495632222,-6.80940826333875,-3.440491494610659,-0.6579283732624557
25,1,OK,pass,OK,0.3,0.9,1.3,3.52,Plate 3 A10,Plate 3 A10,G4,6,0.5672143961432351,6.33,1.47,0,4.08,-31.85287764526713,-10.863638998105857,0.36283015075943953,-5.255921010842254,-2.528910932019106,-0.426563646242192
