age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69,Il2ra (CD25),Cd44,Sell (CD62L)
25,1,OK,pass,OK,1.32,0,0.48,3.29,Plate 3 C12,Plate 3 C12, NP68,6,0.49473850451135176,8.94,0,1.6,3.18
25,1,OK,pass,OK,0,0.6,0.7,3.28,Plate 3 D1,Plate 3 D1, NP68,6,0.4393340703333659,8.43,1.71,0,2.47
25,1,OK,pass,OK,2.25,1.11,2.02,2.33,Plate 3 D2,Plate 3 D2, NP68,6,0.7807677297039054,2.89,6.56,0,7.12
25,1,OK,pass,OK,0.7,0,0.78,3.19,Plate 3 D3,Plate 3 D3, NP68,6,1.0558279233170988,7.02,0,0,2.26
25,1,OK,pass,OK,1.88,1.58,1.11,3.07,Plate 3 D4,Plate 3 D4, NP68,6,1.1268560110275285,7.6,5.53,0,2.85
25,1,OK,pass,OK,1.97,1.43,1.51,3.12,Plate 3 D5,Plate 3 D5, NP68,6,1.7033210172732587,7.12,6.36,0,9.73
25,1,OK,pass,OK,0,0,0.7,3.37,Plate 3 D6,Plate 3 D6, NP68,6,0.3335767296784154,9.16,0,0,0
25,1,OK,pass,OK,0.78,0.3,1,3.59,Plate 3 D7,Plate 3 D7, NP68,6,0.9234102431614908,9.02,1.66,0,2.91
25,1,OK,pass,OK,0,0.6,0.78,3.17,Plate 3 D8,Plate 3 D8, NP68,6,0.6650020497913066,8.49,0,1.32,3.86
25,1,OK,pass,OK,0,0.3,0.48,3.45,Plate 3 D9,Plate 3 D9, NP68,6,1.2523954949830853,8.87,0.85,1.76,3.4
25,1,OK,pass,OK,0.85,0.6,0,3.11,Plate 3 D10,Plate 3 D10, NP68,6,1.2071753014737652,8.29,0,1.41,7.69
25,1,OK,pass,OK,0,0.78,1.04,3.64,Plate 3 D11,Plate 3 D11, NP68,6,0.7137989053246532,9.54,2.72,0,4.55
25,1,OK,pass,OK,0,0.3,1.18,3.01,Plate 3 D12,Plate 3 D12, NP68,6,0.9735241041311751,7.87,0,0,2.35
25,1,OK,pass,OK,2.76,2.1,1.61,2.72,Plate 3 E1,Plate 3 E1, N4,6,0.6760703078076512,8.54,5.07,1.31,3.98
25,1,OK,pass,OK,3.13,2.55,1.54,2.6,Plate 3 E2,Plate 3 E2, N4,6,1.4489360048935307,4.77,4.13,6.8,3.32
25,1,OK,pass,OK,3,2.5,1.23,1.94,Plate 3 E3,Plate 3 E3, N4,6,0.5821750366649201,1.44,7.57,0,9.82
25,1,OK,pass,OK,3.44,2.51,2.05,1.99,Plate 3 E4,Plate 3 E4, N4,6,1.5642732070100605,0,6.05,0,8.63
25,1,OK,pass,OK,3.36,2.32,0,2.21,Plate 3 E5,Plate 3 E5, N4,6,2.528704561279398,0.84,7.59,0,10.71
25,1,OK,pass,OK,2.88,2.3,2.34,2.03,Plate 3 E6,Plate 3 E6, N4,6,0.6647269219433046,1.32,6.89,6.49,8.56
